x,y,model0,score0,model1,score1,model2,score2
10,0,_model_00046_0_0.239_6385664_.zip,0.5,base,-0.32,base,-0.18
10,1,_model_00046_0_0.239_6385664_.zip,0.54,_model_00001_0_0.2_36864_.zip,-0.19,base,-0.35
10,2,_model_00046_0_0.239_6385664_.zip,0.36,_model_00006_0_0.24_1060864_.zip,-0.05,base,-0.31
10,3,_model_00046_0_0.239_6385664_.zip,0.13,_model_00011_0_0.211_1552384_.zip,0.03,base,-0.16
10,4,_model_00046_0_0.239_6385664_.zip,0.23,_model_00016_0_0.206_2494464_.zip,0.3,base,-0.53
10,5,_model_00046_0_0.239_6385664_.zip,0.08,_model_00021_0_0.206_3149824_.zip,0.27,base,-0.35
10,6,_model_00046_0_0.239_6385664_.zip,0.25,_model_00026_0_0.202_4173824_.zip,0.17,base,-0.42
10,7,_model_00046_0_0.239_6385664_.zip,0.22,_model_00031_0_0.231_4993024_.zip,0.13,base,-0.35
10,8,_model_00046_0_0.239_6385664_.zip,0.05,_model_00036_0_0.218_5525504_.zip,0.08,base,-0.13
10,9,_model_00046_0_0.239_6385664_.zip,0.32,_model_00041_0_0.239_5976064_.zip,0.04,base,-0.36
10,10,_model_00046_0_0.239_6385664_.zip,0.2,_model_00046_0_0.239_6385664_.zip,0.14,base,-0.34
10,11,_model_00046_0_0.239_6385664_.zip,0.33,_model_00051_0_0.236_6754304_.zip,0.17,base,-0.5
11,0,_model_00051_0_0.236_6754304_.zip,0.65,base,-0.25,base,-0.4
11,1,_model_00051_0_0.236_6754304_.zip,0.42,_model_00001_0_0.2_36864_.zip,-0.11,base,-0.31
11,2,_model_00051_0_0.236_6754304_.zip,0.41,_model_00006_0_0.24_1060864_.zip,0.23,base,-0.64
11,3,_model_00051_0_0.236_6754304_.zip,0.41,_model_00011_0_0.211_1552384_.zip,-0.06,base,-0.35
11,4,_model_00051_0_0.236_6754304_.zip,0.24,_model_00016_0_0.206_2494464_.zip,-0.05,base,-0.19
11,5,_model_00051_0_0.236_6754304_.zip,0.28,_model_00021_0_0.206_3149824_.zip,0.04,base,-0.32
11,6,_model_00051_0_0.236_6754304_.zip,0.25,_model_00026_0_0.202_4173824_.zip,0.15,base,-0.4
11,7,_model_00051_0_0.236_6754304_.zip,0.14,_model_00031_0_0.231_4993024_.zip,0.2,base,-0.34
11,8,_model_00051_0_0.236_6754304_.zip,0.27,_model_00036_0_0.218_5525504_.zip,0.06,base,-0.33
11,9,_model_00051_0_0.236_6754304_.zip,0.21,_model_00041_0_0.239_5976064_.zip,0.19,base,-0.4
11,10,_model_00051_0_0.236_6754304_.zip,0.26,_model_00046_0_0.239_6385664_.zip,-0.08,base,-0.18
11,11,_model_00051_0_0.236_6754304_.zip,0.29,_model_00051_0_0.236_6754304_.zip,0.1,base,-0.39
