x,y,model0,score0,model1,score1,model2,score2
7,2,_model_00031_0_0.265_7163904_.zip,0.23,_model_00006_0_0.23_2371584_.zip,-0.04,base,-0.19
7,3,_model_00031_0_0.265_7163904_.zip,0.16,_model_00011_0_0.214_3108864_.zip,-0.18,base,0.02
7,4,_model_00031_0_0.265_7163904_.zip,-0.05,_model_00016_0_0.231_3518464_.zip,0.17,base,-0.12
7,5,_model_00031_0_0.265_7163904_.zip,-0.02,_model_00021_0_0.207_4296704_.zip,-0.08,base,0.1
7,6,_model_00031_0_0.265_7163904_.zip,0.05,_model_00026_0_0.208_6344704_.zip,0.17,base,-0.22
7,7,_model_00031_0_0.265_7163904_.zip,-0.14,_model_00031_0_0.265_7163904_.zip,-0.04,base,0.18
7,8,_model_00031_0_0.265_7163904_.zip,0.0,_model_00036_0_0.209_7983104_.zip,0.08,base,-0.08
7,9,_model_00031_0_0.265_7163904_.zip,0.18,_model_00041_0_0.22_8433664_.zip,0.26,base,-0.44
7,10,_model_00031_0_0.265_7163904_.zip,0.11,_model_00046_0_0.224_8802304_.zip,-0.03,base,-0.08
7,11,_model_00031_0_0.265_7163904_.zip,0.13,_model_00051_0_0.204_9621504_.zip,0.23,base,-0.36
8,0,_model_00036_0_0.209_7983104_.zip,0.42,base,-0.28,base,-0.14
8,1,_model_00036_0_0.209_7983104_.zip,0.11,_model_00001_0_0.271_77824_.zip,-0.12,base,0.01
8,2,_model_00036_0_0.209_7983104_.zip,0.16,_model_00006_0_0.23_2371584_.zip,0.08,base,-0.24
8,3,_model_00036_0_0.209_7983104_.zip,0.13,_model_00011_0_0.214_3108864_.zip,-0.03,base,-0.1
8,4,_model_00036_0_0.209_7983104_.zip,0.12,_model_00016_0_0.231_3518464_.zip,-0.05,base,-0.07
8,5,_model_00036_0_0.209_7983104_.zip,0.14,_model_00021_0_0.207_4296704_.zip,0.1,base,-0.24
8,6,_model_00036_0_0.209_7983104_.zip,0.14,_model_00026_0_0.208_6344704_.zip,0.21,base,-0.35
8,7,_model_00036_0_0.209_7983104_.zip,-0.11,_model_00031_0_0.265_7163904_.zip,0.03,base,0.08
8,8,_model_00036_0_0.209_7983104_.zip,-0.15,_model_00036_0_0.209_7983104_.zip,0.0,base,0.15
8,9,_model_00036_0_0.209_7983104_.zip,0.01,_model_00041_0_0.22_8433664_.zip,0.05,base,-0.06
8,10,_model_00036_0_0.209_7983104_.zip,-0.08,_model_00046_0_0.224_8802304_.zip,0.12,base,-0.04
8,11,_model_00036_0_0.209_7983104_.zip,-0.07,_model_00051_0_0.204_9621504_.zip,0.23,base,-0.16
9,0,_model_00041_0_0.22_8433664_.zip,0.15,base,0.0,base,-0.15
9,1,_model_00041_0_0.22_8433664_.zip,0.03,_model_00001_0_0.271_77824_.zip,0.19,base,-0.22
9,2,_model_00041_0_0.22_8433664_.zip,0.22,_model_00006_0_0.23_2371584_.zip,0.08,base,-0.3
9,3,_model_00041_0_0.22_8433664_.zip,0.28,_model_00011_0_0.214_3108864_.zip,-0.04,base,-0.24
9,4,_model_00041_0_0.22_8433664_.zip,0.34,_model_00016_0_0.231_3518464_.zip,0.04,base,-0.38
9,5,_model_00041_0_0.22_8433664_.zip,0.17,_model_00021_0_0.207_4296704_.zip,0.06,base,-0.23
9,6,_model_00041_0_0.22_8433664_.zip,-0.18,_model_00026_0_0.208_6344704_.zip,0.31,base,-0.13
9,7,_model_00041_0_0.22_8433664_.zip,0.26,_model_00031_0_0.265_7163904_.zip,0.1,base,-0.36
9,8,_model_00041_0_0.22_8433664_.zip,0.08,_model_00036_0_0.209_7983104_.zip,0.17,base,-0.25
9,9,_model_00041_0_0.22_8433664_.zip,-0.01,_model_00041_0_0.22_8433664_.zip,0.11,base,-0.1
9,10,_model_00041_0_0.22_8433664_.zip,-0.25,_model_00046_0_0.224_8802304_.zip,0.27,base,-0.02
9,11,_model_00041_0_0.22_8433664_.zip,0.02,_model_00051_0_0.204_9621504_.zip,0.09,base,-0.11
10,0,_model_00046_0_0.224_8802304_.zip,0.33,base,-0.3,base,-0.03
10,1,_model_00046_0_0.224_8802304_.zip,0.32,_model_00001_0_0.271_77824_.zip,-0.09,base,-0.23
10,2,_model_00046_0_0.224_8802304_.zip,0.25,_model_00006_0_0.23_2371584_.zip,0.03,base,-0.28
10,3,_model_00046_0_0.224_8802304_.zip,0.03,_model_00011_0_0.214_3108864_.zip,0.27,base,-0.3
10,4,_model_00046_0_0.224_8802304_.zip,0.26,_model_00016_0_0.231_3518464_.zip,-0.06,base,-0.2
10,5,_model_00046_0_0.224_8802304_.zip,-0.03,_model_00021_0_0.207_4296704_.zip,0.33,base,-0.3
10,6,_model_00046_0_0.224_8802304_.zip,-0.07,_model_00026_0_0.208_6344704_.zip,0.23,base,-0.16
10,7,_model_00046_0_0.224_8802304_.zip,0.07,_model_00031_0_0.265_7163904_.zip,0.0,base,-0.07
10,8,_model_00046_0_0.224_8802304_.zip,0.09,_model_00036_0_0.209_7983104_.zip,0.18,base,-0.27
10,9,_model_00046_0_0.224_8802304_.zip,0.06,_model_00041_0_0.22_8433664_.zip,0.11,base,-0.17
10,10,_model_00046_0_0.224_8802304_.zip,0.0,_model_00046_0_0.224_8802304_.zip,0.15,base,-0.15
10,11,_model_00046_0_0.224_8802304_.zip,0.27,_model_00051_0_0.204_9621504_.zip,0.18,base,-0.45
11,0,_model_00051_0_0.204_9621504_.zip,0.04,base,0.02,base,-0.06
11,1,_model_00051_0_0.204_9621504_.zip,0.11,_model_00001_0_0.271_77824_.zip,0.07,base,-0.18
11,2,_model_00051_0_0.204_9621504_.zip,0.26,_model_00006_0_0.23_2371584_.zip,-0.07,base,-0.19
11,3,_model_00051_0_0.204_9621504_.zip,-0.07,_model_00011_0_0.214_3108864_.zip,0.13,base,-0.06
11,4,_model_00051_0_0.204_9621504_.zip,0.23,_model_00016_0_0.231_3518464_.zip,0.04,base,-0.27
11,5,_model_00051_0_0.204_9621504_.zip,0.05,_model_00021_0_0.207_4296704_.zip,0.03,base,-0.08
11,6,_model_00051_0_0.204_9621504_.zip,0.04,_model_00026_0_0.208_6344704_.zip,0.2,base,-0.24
11,7,_model_00051_0_0.204_9621504_.zip,0.02,_model_00031_0_0.265_7163904_.zip,0.19,base,-0.21
11,8,_model_00051_0_0.204_9621504_.zip,0.21,_model_00036_0_0.209_7983104_.zip,0.09,base,-0.3
11,9,_model_00051_0_0.204_9621504_.zip,0.19,_model_00041_0_0.22_8433664_.zip,0.0,base,-0.19
11,10,_model_00051_0_0.204_9621504_.zip,0.18,_model_00046_0_0.224_8802304_.zip,0.01,base,-0.19
11,11,_model_00051_0_0.204_9621504_.zip,0.01,_model_00051_0_0.204_9621504_.zip,0.03,base,-0.04
