x,y,model0,score0,model1,score1,model2,score2
9,5,_model_00041_0_0.239_5976064_.zip,0.236,_model_00021_0_0.206_3149824_.zip,0.171,base,-0.407
9,6,_model_00041_0_0.239_5976064_.zip,0.231,_model_00026_0_0.202_4173824_.zip,0.138,base,-0.369
9,7,_model_00041_0_0.239_5976064_.zip,0.284,_model_00031_0_0.231_4993024_.zip,0.122,base,-0.406
9,8,_model_00041_0_0.239_5976064_.zip,0.257,_model_00036_0_0.218_5525504_.zip,0.163,base,-0.42
9,9,_model_00041_0_0.239_5976064_.zip,0.147,_model_00041_0_0.239_5976064_.zip,0.122,base,-0.269
9,10,_model_00041_0_0.239_5976064_.zip,0.23,_model_00046_0_0.239_6385664_.zip,0.118,base,-0.348
9,11,_model_00041_0_0.239_5976064_.zip,0.156,_model_00051_0_0.236_6754304_.zip,0.193,base,-0.349
10,0,_model_00046_0_0.239_6385664_.zip,0.492,base,-0.295,base,-0.197
10,1,_model_00046_0_0.239_6385664_.zip,0.429,_model_00001_0_0.2_36864_.zip,-0.178,base,-0.251
10,2,_model_00046_0_0.239_6385664_.zip,0.293,_model_00006_0_0.24_1060864_.zip,0.061,base,-0.354
10,3,_model_00046_0_0.239_6385664_.zip,0.29,_model_00011_0_0.211_1552384_.zip,0.106,base,-0.396
10,4,_model_00046_0_0.239_6385664_.zip,0.194,_model_00016_0_0.206_2494464_.zip,0.12,base,-0.314
10,5,_model_00046_0_0.239_6385664_.zip,0.19,_model_00021_0_0.206_3149824_.zip,0.16,base,-0.35
10,6,_model_00046_0_0.239_6385664_.zip,0.242,_model_00026_0_0.202_4173824_.zip,0.182,base,-0.424
10,7,_model_00046_0_0.239_6385664_.zip,0.289,_model_00031_0_0.231_4993024_.zip,0.139,base,-0.428
10,8,_model_00046_0_0.239_6385664_.zip,0.224,_model_00036_0_0.218_5525504_.zip,0.189,base,-0.413
10,9,_model_00046_0_0.239_6385664_.zip,0.257,_model_00041_0_0.239_5976064_.zip,0.203,base,-0.46
10,10,_model_00046_0_0.239_6385664_.zip,0.239,_model_00046_0_0.239_6385664_.zip,0.075,base,-0.314
10,11,_model_00046_0_0.239_6385664_.zip,0.154,_model_00051_0_0.236_6754304_.zip,0.168,base,-0.322
11,0,_model_00051_0_0.236_6754304_.zip,0.543,base,-0.301,base,-0.242
11,1,_model_00051_0_0.236_6754304_.zip,0.46,_model_00001_0_0.2_36864_.zip,-0.147,base,-0.313
11,2,_model_00051_0_0.236_6754304_.zip,0.306,_model_00006_0_0.24_1060864_.zip,0.021,base,-0.327
11,3,_model_00051_0_0.236_6754304_.zip,0.244,_model_00011_0_0.211_1552384_.zip,0.123,base,-0.367
11,4,_model_00051_0_0.236_6754304_.zip,0.251,_model_00016_0_0.206_2494464_.zip,0.115,base,-0.366
11,5,_model_00051_0_0.236_6754304_.zip,0.194,_model_00021_0_0.206_3149824_.zip,0.143,base,-0.337
11,6,_model_00051_0_0.236_6754304_.zip,0.216,_model_00026_0_0.202_4173824_.zip,0.116,base,-0.332
11,7,_model_00051_0_0.236_6754304_.zip,0.296,_model_00031_0_0.231_4993024_.zip,0.087,base,-0.383
11,8,_model_00051_0_0.236_6754304_.zip,0.238,_model_00036_0_0.218_5525504_.zip,0.114,base,-0.352
11,9,_model_00051_0_0.236_6754304_.zip,0.244,_model_00041_0_0.239_5976064_.zip,0.149,base,-0.393
11,10,_model_00051_0_0.236_6754304_.zip,0.235,_model_00046_0_0.239_6385664_.zip,0.189,base,-0.424
11,11,_model_00051_0_0.236_6754304_.zip,0.22,_model_00051_0_0.236_6754304_.zip,0.103,base,-0.323
